#,Element,Ox.-number Z,"bondtype",CN,"Spinstate","Radius RHoWior Cordero","Crystal Radius CRShannon","Ionic Radius IRShannon","Covalent RadiusCordero",Z/R,"charge surface ratio[(Z/R)/4pR2]",Notes,
763,Yb,2,I,6,,1.16,1.16,1.02,,1.72,0.102,,
764,Yb,2,I,7,,1.22,1.22,1.08,,1.64,0.088,,
765,Yb,2,I,8,,1.28,1.28,1.14,,1.56,0.076,,
766,Yb,2,I,12,,1.52,1.52,1.38,,1.32,0.045,,
767,Yb,3,I,6,,1.008,1.008,0.868,,2.98,0.233,,
768,Yb,3,I,7,,1.065,1.065,0.925,,2.82,0.198,,
769,Yb,3,I,8,,1.125,1.125,0.985,,2.67,0.168,,
770,Yb,3,I,9,,1.182,1.182,1.042,,2.54,0.145,,
771,Yb,3,I,12,,1.3569,1.3569,1.2160,,2.21,0.096,,
772,Zn,0,C(1),0,,1.22,,,1.22,0.00,0.000,,
773,Zn,0,M,12,,1.335,,,,0.00,0.000,,
774,Zn,0,W,0,,1.4,,,,0.00,0.000,,
775,Zn,2,I,4,,0.74,0.74,0.6,,2.70,0.393,,
776,Zn,2,I,5,,0.82,0.82,0.68,,2.44,0.289,,
777,Zn,2,I,6,,0.880,0.88,0.74,,2.27,0.234,,
778,Zn,2,I,8,,1.04,1.04,0.9,,1.92,0.141,,
779,Zr,0,C(1),0,,1.75,,,1.75,0.00,0.000,,
780,Zr,0,M,12,,1.590,,,,0.00,0.000,,
781,Zr,4,I,4,,0.73,0.73,0.59,,5.48,0.818,,
782,Zr,4,I,5,,0.80,0.8,0.66,,5.00,0.622,,
783,Zr,4,I,6,,0.86,0.86,0.72,,4.65,0.500,,
784,Zr,4,I,7,,0.92,0.92,0.78,,4.35,0.409,,
785,Zr,4,I,8,,0.98,0.98,0.84,,4.08,0.338,,
786,Zr,4,I,9,,1.03,1.03,0.89,,3.88,0.291,,
